タイトル,タイトルURL,タイトル2,タイトル3,タイトル4,タイトル5,タイトル6,価格8,概要,概要9,タイトル10,日時,タイトル11,タイトル12,最低価格,評価スコア,予約時間（分）,評価ランク
FORZA　ホテルフォルツァ金沢,https://www.jalan.net/yad378719/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=378719&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y378719/Y378719374.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719663.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719526.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y378719/Y378719928.jpg,"1名 3,200円～",4.6,"1,102件",部屋、清潔感、朝食高評価,29分前に予約されました,【アクセス】,金沢駅徒歩10分。または北鉄バス「武蔵ヶ辻・近江市場前」バス停下車目の前。コンビニまで徒歩約3分,3200.0,4.6,,B（良好）
THE HOTEL SANRAKU KANAZAWA（ザ ホテル山楽 金沢）,https://www.jalan.net/yad350199/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350199&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y350199/Y350199134.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199092.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199733.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y350199/Y350199601.jpg,"1名 7,000円～",4.8,376件,朝食、接客、清潔感高評価,2時間前に予約されました,【アクセス】,金沢駅東口③・⑦～⑪番乗り場より「武蔵ヶ辻・近江町市場」バス停より徒歩4分／無料シャトルバスあり,7000.0,4.8,,A（非常好）
ホテル・トリフィート金沢,https://www.jalan.net/yad304736/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=304736&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y304736/Y304736146.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736248.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736240.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y304736/Y304736105.jpg,"1名 4,270円～",4.6,431件,清潔感、朝食、風呂高評価,たった今予約されました,【アクセス】,JR金沢駅兼六園口（東口）から徒歩4分◇アクセス抜群！好立地☆彡,4270.0,4.6,,B（良好）
天然温泉 加賀の宝泉 御宿 野乃金沢（ドーミーインチェーン）,https://www.jalan.net/yad388181/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388181&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y388181/Y388181058.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181139.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181327.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y388181/Y388181063.jpg,"1名 5,500円～",4.5,"1,074件",朝食、風呂、清潔感高評価,たった今予約されました,【アクセス】,JR金沢駅より北鉄バス乗車、「武蔵ケ辻・近江町市場」バス停下車徒歩約2分。,5500.0,4.5,,B（良好）
ホテルインターゲート金沢,https://www.jalan.net/yad362769/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362769&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y362769/Y362769583.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769816.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769779.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y362769/Y362769921.jpg,"1名 3,800円～",4.5,84件,部屋、清潔感、朝食高評価,36分前に予約されました,【アクセス】,JR金沢駅からバス「南町・尾山神社」迄7分下車1分/小松空港からバス「武蔵ヶ辻・近江町市場」迄50分下車7分,3800.0,4.5,,B（良好）
金沢湯涌温泉　百楽荘,https://www.jalan.net/yad379790/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=379790&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y379790/Y379790146.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790193.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790083.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y379790/Y379790129.jpg,"1名 35,200円～",4.9,42件,夕食、部屋、接客高評価,3時間前に予約されました,【アクセス】,●金沢駅より車で35分●兼六園より車で20分,35200.0,4.9,,A（非常好）
OMO5金沢片町 by 星野リゾート,https://www.jalan.net/yad362327/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=362327&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y362327/Y362327115.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327123.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327101.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y362327/Y362327059.jpg,"1名 4,500円～",4.7,164件,清潔感、部屋、接客高評価,3時間前に予約されました,【アクセス】,「金沢」駅東口の路線バス乗り場から「香林坊」駅までバスで約10分。「香林坊」駅より徒歩約4分,4500.0,4.7,,A（非常好）
ホテル日航金沢,https://www.jalan.net/yad321280/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321280&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y321280/Y321280AQ0.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280AO5.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280A54.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y321280/Y321280Aa7.jpg,"1名 6,800円～",4.6,"1,789件",朝食、接客、清潔感高評価,1時間前に予約されました,【アクセス】,JR金沢駅兼六園口（東口）より徒歩約3分（地下道で直結）,6800.0,4.6,,B（良好）
金沢白鳥路　ホテル山楽,https://www.jalan.net/yad388405/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388405&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y388405/Y388405AB3.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405AX9.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405C12.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y388405/Y388405Bw2.jpg,"1名 6,000円～",4.4,"2,441件",朝食、部屋、清潔感高評価,たった今予約されました,【アクセス】,金沢駅より車で約10分。バス約15分「兼六園下・金沢城」下車バス停より徒歩5分。無料シャトルバス運行中。,6000.0,4.4,,B（良好）
ダイワロイネットホテル金沢駅西口,https://www.jalan.net/yad376255/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=376255&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y376255/Y376255482.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255486.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255454.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y376255/Y376255483.jpg,"1名 4,450円～",4.7,235件,部屋、清潔感、風呂高評価,42分前に予約されました,【アクセス】,JR「金沢駅」港口（西口）より徒歩約4分。小松空港→空港バス約40分。金沢西IC→約15分、金沢東IC→約10分,4450.0,4.7,,A（非常好）
